72.13	-26.82	17.868	35.734
99.67	-45.50	10.539	34.839
115.60	-15.73	17.256	35.170
89.13	11.34	14.616	34.974
54.68	13.78	17.861	35.587
63.28	12.48	16.468	35.693
89.98	8.78	13.319	35.056
59.90	-49.26	2.042	33.816
47.70	-28.99	15.441	35.485
62.31	-6.67	12.951	35.111
111.98	-9.06	13.806	24.882
113.56	-32.16	14.248	35.444
127.17	-47.65	9.474	34.673
41.06	-34.56	16.622	35.546
135.48	-50.94	6.315	34.200
96.24	-40.59	11.089	34.928
97.31	-49.76	2.439	34.022
92.10	13.56	14.309	34.959
76.91	-34.08	13.485	35.241
30.29	-31.16	11.782	35.044
61.84	-6.24	13.051	35.079
73.65	-10.71	14.099	34.723
82.41	-4.88	3.730	14.015
49.00	-58.06	1.194	34.308
70.18	-13.55	15.992	35.044
94.46	6.46	12.860	35.039
42.09	-18.98	15.518	35.348
55.08	-30.84	14.605	35.450
109.25	-45.75	10.188	34.792
69.48	-51.47	1.372	33.939
96.19	-30.82	16.034	35.703
32.18	-30.88	19.274	35.526
85.12	-37.12	12.339	35.119
68.40	-10.28	13.783	35.041
102.75	-23.61	17.344	35.815
84.10	0.79	13.788	35.022
84.83	16.73	15.060	34.956
86.23	-8.08	12.611	34.842
128.85	-38.75	10.268	34.796
67.22	5.73	15.439	35.247
87.53	-31.10	13.215	35.189
91.27	-8.61	12.388	34.863
40.45	-38.44	16.852	35.593
69.57	13.40	14.741	35.457
43.74	-53.02	0.819	34.206
87.60	-59.77	1.523	34.330
90.58	-18.90	20.014	35.636
106.97	-8.46	13.025	34.595
92.76	-31.28	13.530	35.335
102.32	-31.79	12.627	35.208
92.53	-35.40	14.894	35.616
82.25	11.52	9999.000	9999.000
100.13	-46.06	6.924	34.278
60.04	12.96	16.807	35.651
99.81	-53.85	1.278	34.172
113.24	-46.72	9.909	34.749
90.53	-26.47	17.066	35.566
137.97	-38.31	11.973	35.133
121.85	-49.12	6.986	34.309
85.82	-3.26	9999.000	9999.000
50.47	-19.79	21.458	35.375
134.62	-38.65	10.835	34.958
76.68	-20.69	21.487	35.629
70.99	-52.80	1.835	33.979
122.83	-63.89	1.479	34.686
77.70	-43.98	11.287	34.882
103.42	-53.35	1.992	34.221
86.49	-31.30	13.711	35.326
65.17	19.05	17.620	35.980
97.13	-55.93	1.534	34.087
99.43	-18.58	19.520	35.748
87.72	-50.59	2.768	34.033
106.49	-15.00	18.006	35.162
116.78	-41.06	10.556	34.816
86.51	-18.33	20.182	35.740
56.75	-20.42	20.410	35.615
104.69	-49.35	3.067	33.956
112.45	-51.74	2.087	34.165
57.05	17.20	15.148	35.582
109.25	-42.75	10.617	34.838
63.47	-6.54	12.990	35.104
136.86	-51.06	7.253	34.318
136.30	-42.52	11.271	35.020
88.55	18.47	15.104	34.945
83.52	14.85	4.112	14.079
95.03	-19.60	19.722	35.898
74.09	5.35	13.360	35.148
104.74	-14.60	16.548	34.873
